cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
ACC,CNV,0.625,0.5,0.75,0.299977106227106,0.4,0.5,0.444444444444444,0.6875,0.230769230769231,Fold1.Rep01
ACC,CNV,0.527777777777778,0.333333333333333,0.75,0.123821548821549,0.25,0.333333333333333,0.285714285714286,0.666666666666667,0.0740740740740739,Fold2.Rep01
ACC,CNV,0.604166666666667,0.25,0.75,0.277449633699634,0.25,0.25,0.25,0.625,0,Fold3.Rep01
ACC,CNV,1,0.333333333333333,1,0.666666666666667,1,0.333333333333333,0.5,0.866666666666667,0.444444444444445,Fold4.Rep01
ACC,CNV,0.777777777777778,0,1,0.215873015873016,NA,0,NA,0.8,0,Fold5.Rep01
ACC,CNV,0.645833333333333,0.5,0.75,0.272916666666667,0.4,0.5,0.444444444444444,0.6875,0.230769230769231,Fold1.Rep02
ACC,CNV,0.638888888888889,0.666666666666667,0.833333333333333,0.266414141414141,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold2.Rep02
ACC,CNV,0.805555555555556,0.333333333333333,0.916666666666667,0.23531746031746,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold3.Rep02
ACC,CNV,0.694444444444444,0,1,0.260683760683761,NA,0,NA,0.8,0,Fold4.Rep02
ACC,CNV,0.770833333333333,0.25,0.833333333333333,0.292559523809524,0.333333333333333,0.25,0.285714285714286,0.6875,0.0909090909090909,Fold5.Rep02
ACC,CNV,0.722222222222222,0,0.833333333333333,0.271428571428571,0,0,NA,0.666666666666667,-0.19047619047619,Fold1.Rep03
ACC,CNV,0.5,0.5,0.666666666666667,0.237896825396825,0.333333333333333,0.5,0.4,0.625,0.142857142857143,Fold2.Rep03
ACC,CNV,0.895833333333333,0.5,0.916666666666667,0.441666666666667,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold3.Rep03
ACC,CNV,0.916666666666667,0,0.916666666666667,0.513888888888889,0,0,NA,0.733333333333333,-0.111111111111111,Fold4.Rep03
ACC,CNV,0.444444444444444,0,0.916666666666667,0.198346560846561,0,0,NA,0.733333333333333,-0.111111111111111,Fold5.Rep03
ACC,CNV,0.625,0.5,0.916666666666667,0.284672619047619,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold1.Rep04
ACC,CNV,0.666666666666667,0,0.916666666666667,0.270454545454545,0,0,NA,0.733333333333333,-0.111111111111111,Fold2.Rep04
ACC,CNV,0.694444444444444,0.666666666666667,0.75,0.260119047619048,0.4,0.666666666666667,0.5,0.733333333333333,0.333333333333333,Fold3.Rep04
ACC,CNV,0.895833333333333,0.5,1,0.521428571428571,1,0.5,0.666666666666667,0.875,0.6,Fold4.Rep04
ACC,CNV,0.75,0,0.916666666666667,0.319444444444444,0,0,NA,0.733333333333333,-0.111111111111111,Fold5.Rep04
ACC,CNV,0.645833333333333,0.5,0.916666666666667,0.377083333333333,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold1.Rep05
ACC,CNV,0.645833333333333,0.25,0.583333333333333,0.283234126984127,0.166666666666667,0.25,0.2,0.5,-0.142857142857143,Fold2.Rep05
ACC,CNV,0.722222222222222,0.666666666666667,1,0.39957264957265,1,0.666666666666667,0.8,0.933333333333333,0.761904761904762,Fold3.Rep05
ACC,CNV,0.694444444444444,0,1,0.260683760683761,NA,0,NA,0.8,0,Fold4.Rep05
ACC,CNV,0.833333333333333,0,0.916666666666667,0.372222222222222,0,0,NA,0.733333333333333,-0.111111111111111,Fold5.Rep05
ACC,CNV,0.833333333333333,0.333333333333333,0.916666666666667,0.404761904761905,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold1.Rep06
ACC,CNV,0.722222222222222,0.333333333333333,0.833333333333333,0.271428571428571,0.333333333333333,0.333333333333333,0.333333333333333,0.733333333333333,0.166666666666666,Fold2.Rep06
ACC,CNV,0.520833333333333,0,0.75,0.245535714285714,0,0,NA,0.5625,-0.272727272727273,Fold3.Rep06
ACC,CNV,0.541666666666667,0.25,0.916666666666667,0.200459956709957,0.5,0.25,0.333333333333333,0.75,0.2,Fold4.Rep06
ACC,CNV,0.75,0.666666666666667,0.75,0.319444444444444,0.4,0.666666666666667,0.5,0.733333333333333,0.333333333333333,Fold5.Rep06
ACC,CNV,0.777777777777778,0,0.916666666666667,0.375,0,0,NA,0.733333333333333,-0.111111111111111,Fold1.Rep07
ACC,CNV,0.458333333333333,0.25,0.833333333333333,0.233143939393939,0.333333333333333,0.25,0.285714285714286,0.6875,0.0909090909090909,Fold2.Rep07
ACC,CNV,0.638888888888889,0.666666666666667,0.833333333333333,0.339133089133089,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold3.Rep07
ACC,CNV,0.722222222222222,0.333333333333333,0.916666666666667,0.186111111111111,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold4.Rep07
ACC,CNV,0.5,0,1,0.226515151515152,NA,0,NA,0.75,0,Fold5.Rep07
ACC,CNV,0.611111111111111,0,0.833333333333333,0.223232323232323,0,0,NA,0.666666666666667,-0.19047619047619,Fold1.Rep08
ACC,CNV,0.604166666666667,0.5,0.916666666666667,0.341369047619048,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold2.Rep08
ACC,CNV,0.638888888888889,0.333333333333333,0.916666666666667,0.251587301587302,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold3.Rep08
ACC,CNV,0.555555555555556,0,0.833333333333333,0.195767195767196,0,0,NA,0.666666666666667,-0.19047619047619,Fold4.Rep08
ACC,CNV,0.645833333333333,0.25,1,0.379838217338217,1,0.25,0.4,0.8125,0.333333333333333,Fold5.Rep08
ACC,CNV,0.625,0.25,0.833333333333333,0.281263528138528,0.333333333333333,0.25,0.285714285714286,0.6875,0.0909090909090909,Fold1.Rep09
ACC,CNV,0.638888888888889,0.333333333333333,0.916666666666667,0.251587301587302,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold2.Rep09
ACC,CNV,0.75,0,0.75,0.3,0,0,NA,0.6,-0.250000000000001,Fold3.Rep09
ACC,CNV,0.833333333333333,0.333333333333333,0.916666666666667,0.258333333333333,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold4.Rep09
ACC,CNV,0.770833333333333,0.5,0.916666666666667,0.341287878787879,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold5.Rep09
ACC,CNV,0.604166666666667,0.25,0.833333333333333,0.282715201465201,0.333333333333333,0.25,0.285714285714286,0.6875,0.0909090909090909,Fold1.Rep10
ACC,CNV,1,0,1,0.666666666666667,NA,0,NA,0.8,0,Fold2.Rep10
ACC,CNV,0.666666666666667,0.666666666666667,1,0.39047619047619,1,0.666666666666667,0.8,0.933333333333333,0.761904761904762,Fold3.Rep10
ACC,CNV,0.729166666666667,0,0.916666666666667,0.343501984126984,0,0,NA,0.6875,-0.111111111111111,Fold4.Rep10
ACC,CNV,0.75,0,0.833333333333333,0.3,0,0,NA,0.666666666666667,-0.19047619047619,Fold5.Rep10
ACC,Methy,0.895833333333333,0.25,1,0.602430555555556,1,0.25,0.4,0.8125,0.333333333333333,Fold1.Rep01
ACC,Methy,0.583333333333333,0,0.916666666666667,0.221969696969697,0,0,NA,0.733333333333333,-0.111111111111111,Fold2.Rep01
ACC,Methy,0.666666666666667,0.5,0.833333333333333,0.310416666666667,0.5,0.5,0.5,0.75,0.333333333333333,Fold3.Rep01
ACC,Methy,0.833333333333333,0.333333333333333,1,0.304563492063492,1,0.333333333333333,0.5,0.866666666666667,0.444444444444445,Fold4.Rep01
ACC,Methy,0.972222222222222,0.666666666666667,0.916666666666667,0.569444444444444,0.666666666666667,0.666666666666667,0.666666666666667,0.866666666666667,0.583333333333333,Fold5.Rep01
ACC,Methy,0.8125,0.5,0.833333333333333,0.436904761904762,0.5,0.5,0.5,0.75,0.333333333333333,Fold1.Rep02
ACC,Methy,0.611111111111111,0,0.833333333333333,0.217592592592593,0,0,NA,0.666666666666667,-0.19047619047619,Fold2.Rep02
ACC,Methy,0.833333333333333,0.333333333333333,0.916666666666667,0.265873015873016,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold3.Rep02
ACC,Methy,0.527777777777778,0.333333333333333,0.916666666666667,0.213973063973064,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold4.Rep02
ACC,Methy,0.833333333333333,0.75,0.833333333333333,0.510037878787879,0.6,0.75,0.666666666666667,0.8125,0.538461538461538,Fold5.Rep02
ACC,Methy,0.805555555555556,0.666666666666667,0.833333333333333,0.291666666666667,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold1.Rep03
ACC,Methy,0.75,0.5,0.75,0.358928571428571,0.4,0.5,0.444444444444444,0.6875,0.230769230769231,Fold2.Rep03
ACC,Methy,1,0.5,1,0.75,1,0.5,0.666666666666667,0.875,0.6,Fold3.Rep03
ACC,Methy,0.777777777777778,0,0.833333333333333,0.313888888888889,0,0,NA,0.666666666666667,-0.19047619047619,Fold4.Rep03
ACC,Methy,0.583333333333333,0.333333333333333,1,0.16547619047619,1,0.333333333333333,0.5,0.866666666666667,0.444444444444445,Fold5.Rep03
ACC,Methy,0.708333333333333,0.25,0.916666666666667,0.390544871794872,0.5,0.25,0.333333333333333,0.75,0.2,Fold1.Rep04
ACC,Methy,0.555555555555556,0,0.666666666666667,0.195767195767196,0,0,NA,0.533333333333333,-0.296296296296296,Fold2.Rep04
ACC,Methy,0.833333333333333,0.666666666666667,0.833333333333333,0.372222222222222,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold3.Rep04
ACC,Methy,0.958333333333333,0.75,1,0.658333333333333,1,0.75,0.857142857142857,0.9375,0.818181818181818,Fold4.Rep04
ACC,Methy,0.555555555555556,0.333333333333333,1,0.146031746031746,1,0.333333333333333,0.5,0.866666666666667,0.444444444444445,Fold5.Rep04
ACC,Methy,0.916666666666667,0.25,0.916666666666667,0.48125,0.5,0.25,0.333333333333333,0.75,0.2,Fold1.Rep05
ACC,Methy,0.729166666666667,0.5,0.833333333333333,0.382589285714286,0.5,0.5,0.5,0.75,0.333333333333333,Fold2.Rep05
ACC,Methy,0.888888888888889,0.333333333333333,0.916666666666667,0.461111111111111,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold3.Rep05
ACC,Methy,0.722222222222222,0.333333333333333,1,0.19537037037037,1,0.333333333333333,0.5,0.866666666666667,0.444444444444445,Fold4.Rep05
ACC,Methy,0.722222222222222,0,0.916666666666667,0.28234126984127,0,0,NA,0.733333333333333,-0.111111111111111,Fold5.Rep05
ACC,Methy,0.777777777777778,0.666666666666667,1,0.412121212121212,1,0.666666666666667,0.8,0.933333333333333,0.761904761904762,Fold1.Rep06
ACC,Methy,0.861111111111111,0.666666666666667,0.833333333333333,0.321428571428571,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold2.Rep06
ACC,Methy,0.583333333333333,0.25,0.833333333333333,0.278598484848485,0.333333333333333,0.25,0.285714285714286,0.6875,0.0909090909090909,Fold3.Rep06
ACC,Methy,0.9375,0.5,1,0.585416666666667,1,0.5,0.666666666666667,0.875,0.6,Fold4.Rep06
ACC,Methy,0.583333333333333,0.666666666666667,0.833333333333333,0.279365079365079,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold5.Rep06
ACC,Methy,0.805555555555556,0.333333333333333,0.833333333333333,0.344444444444444,0.333333333333333,0.333333333333333,0.333333333333333,0.733333333333333,0.166666666666666,Fold1.Rep07
ACC,Methy,0.645833333333333,0.25,0.75,0.253869047619048,0.25,0.25,0.25,0.625,0,Fold2.Rep07
ACC,Methy,0.944444444444444,0,1,0.430555555555556,NA,0,NA,0.8,0,Fold3.Rep07
ACC,Methy,0.944444444444444,0.666666666666667,0.833333333333333,0.516666666666667,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold4.Rep07
ACC,Methy,0.8125,0.25,0.916666666666667,0.420238095238095,0.5,0.25,0.333333333333333,0.75,0.2,Fold5.Rep07
ACC,Methy,0.611111111111111,0.333333333333333,0.916666666666667,0.257905982905983,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold1.Rep08
ACC,Methy,0.958333333333333,0.5,1,0.658333333333333,1,0.5,0.666666666666667,0.875,0.6,Fold2.Rep08
ACC,Methy,0.805555555555556,0.666666666666667,0.833333333333333,0.387896825396825,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold3.Rep08
ACC,Methy,0.777777777777778,0.333333333333333,0.916666666666667,0.375,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold4.Rep08
ACC,Methy,0.6875,0.25,0.833333333333333,0.33125,0.333333333333333,0.25,0.285714285714286,0.6875,0.0909090909090909,Fold5.Rep08
ACC,Methy,0.583333333333333,0,0.833333333333333,0.260732323232323,0,0,NA,0.625,-0.2,Fold1.Rep09
ACC,Methy,0.888888888888889,0.333333333333333,0.916666666666667,0.322222222222222,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold2.Rep09
