cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
ACC,CNV,1,0.75,0.75,NA,0.5,0.75,0.6,0.75,0.428571428571429,Fold1.Rep01
ACC,CNV,0.6,0.333333333333333,0.666666666666667,NA,0.2,0.333333333333333,0.25,0.6,0,Fold2.Rep01
ACC,CNV,1,0.75,0.666666666666667,NA,0.428571428571429,0.75,0.545454545454545,0.6875,0.333333333333333,Fold3.Rep01
ACC,CNV,0.65,0.333333333333333,1,NA,1,0.333333333333333,0.5,0.866666666666667,0.444444444444445,Fold4.Rep01
ACC,CNV,1,0.666666666666667,0.833333333333333,NA,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold5.Rep01
ACC,CNV,1,1,0.583333333333333,NA,0.444444444444444,1,0.615384615384615,0.6875,0.411764705882353,Fold1.Rep02
ACC,CNV,0.638888888888889,0.666666666666667,0.666666666666667,NA,0.333333333333333,0.666666666666667,0.444444444444444,0.666666666666667,0.242424242424242,Fold2.Rep02
ACC,CNV,0.571428571428571,0.333333333333333,0.916666666666667,NA,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold3.Rep02
ACC,CNV,NA,0,1,NA,NA,0,NA,0.8,0,Fold4.Rep02
ACC,CNV,0.65,0.75,0.916666666666667,NA,0.75,0.75,0.75,0.875,0.666666666666667,Fold5.Rep02
ACC,CNV,NA,1,0.75,NA,0.5,1,0.666666666666667,0.8,0.545454545454546,Fold1.Rep03
ACC,CNV,0.678571428571429,0.5,0.583333333333333,NA,0.285714285714286,0.5,0.363636363636364,0.5625,0.0666666666666667,Fold2.Rep03
ACC,CNV,0.555555555555556,0.5,0.833333333333333,NA,0.5,0.5,0.5,0.75,0.333333333333333,Fold3.Rep03
ACC,CNV,1,1,0.916666666666667,NA,0.75,1,0.857142857142857,0.933333333333333,0.814814814814815,Fold4.Rep03
ACC,CNV,1,0.666666666666667,0.666666666666667,NA,0.333333333333333,0.666666666666667,0.444444444444444,0.666666666666667,0.242424242424242,Fold5.Rep03
ACC,CNV,0.545454545454545,0.5,0.833333333333333,NA,0.5,0.5,0.5,0.75,0.333333333333333,Fold1.Rep04
ACC,CNV,1,0.333333333333333,0.833333333333333,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.733333333333333,0.166666666666666,Fold2.Rep04
ACC,CNV,0.708333333333333,0.666666666666667,0.666666666666667,NA,0.333333333333333,0.666666666666667,0.444444444444444,0.666666666666667,0.242424242424242,Fold3.Rep04
ACC,CNV,1,1,0.833333333333333,NA,0.666666666666667,1,0.8,0.875,0.714285714285714,Fold4.Rep04
ACC,CNV,0.525,0.666666666666667,0.833333333333333,NA,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold5.Rep04
ACC,CNV,0.142857142857143,0.75,0.583333333333333,NA,0.375,0.75,0.5,0.625,0.25,Fold1.Rep05
ACC,CNV,1,1,0.416666666666667,NA,0.363636363636364,1,0.533333333333333,0.5625,0.263157894736842,Fold2.Rep05
ACC,CNV,NA,0.666666666666667,0.833333333333333,NA,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold3.Rep05
ACC,CNV,0.916666666666667,0.666666666666667,1,NA,1,0.666666666666667,0.8,0.933333333333333,0.761904761904762,Fold4.Rep05
ACC,CNV,0.888888888888889,0.333333333333333,0.916666666666667,NA,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold5.Rep05
ACC,CNV,0.6,0.666666666666667,0.916666666666667,NA,0.666666666666667,0.666666666666667,0.666666666666667,0.866666666666667,0.583333333333333,Fold1.Rep06
ACC,CNV,1,1,0.583333333333333,NA,0.375,1,0.545454545454545,0.666666666666667,0.358974358974359,Fold2.Rep06
ACC,CNV,0.714285714285714,0.75,0.75,NA,0.5,0.75,0.6,0.75,0.428571428571429,Fold3.Rep06
ACC,CNV,0.833333333333333,0.5,0.833333333333333,NA,0.5,0.5,0.5,0.75,0.333333333333333,Fold4.Rep06
ACC,CNV,1,0.666666666666667,0.666666666666667,NA,0.333333333333333,0.666666666666667,0.444444444444444,0.666666666666667,0.242424242424242,Fold5.Rep06
ACC,CNV,0.8,0.333333333333333,0.833333333333333,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.733333333333333,0.166666666666666,Fold1.Rep07
ACC,CNV,0.3,0.5,0.833333333333333,NA,0.5,0.5,0.5,0.75,0.333333333333333,Fold2.Rep07
ACC,CNV,NA,0.666666666666667,0.5,NA,0.25,0.666666666666667,0.363636363636364,0.533333333333333,0.102564102564102,Fold3.Rep07
ACC,CNV,1,1,0.833333333333333,NA,0.6,1,0.75,0.866666666666667,0.666666666666667,Fold4.Rep07
ACC,CNV,1,0.75,0.833333333333333,NA,0.6,0.75,0.666666666666667,0.8125,0.538461538461538,Fold5.Rep07
ACC,CNV,0.611111111111111,0,0.833333333333333,NA,0,0,NA,0.666666666666667,-0.19047619047619,Fold1.Rep08
ACC,CNV,NA,0.5,0.916666666666667,NA,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold2.Rep08
ACC,CNV,NA,0.666666666666667,0.75,NA,0.4,0.666666666666667,0.5,0.733333333333333,0.333333333333333,Fold3.Rep08
ACC,CNV,0.857142857142857,0.333333333333333,0.666666666666667,NA,0.2,0.333333333333333,0.25,0.6,0,Fold4.Rep08
ACC,CNV,0.944444444444444,0.75,0.75,NA,0.5,0.75,0.6,0.75,0.428571428571429,Fold5.Rep08
ACC,CNV,0.222222222222222,0.5,0.666666666666667,NA,0.333333333333333,0.5,0.4,0.625,0.142857142857143,Fold1.Rep09
ACC,CNV,NA,1,0.833333333333333,NA,0.6,1,0.75,0.866666666666667,0.666666666666667,Fold2.Rep09
ACC,CNV,NA,1,0.666666666666667,NA,0.428571428571429,1,0.6,0.733333333333333,0.444444444444444,Fold3.Rep09
ACC,CNV,0.888888888888889,0.666666666666667,0.833333333333333,NA,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold4.Rep09
ACC,CNV,0.8,0.5,0.916666666666667,NA,0.666666666666667,0.5,0.571428571428572,0.8125,0.454545454545455,Fold5.Rep09
ACC,CNV,0.777777777777778,0.5,0.583333333333333,NA,0.285714285714286,0.5,0.363636363636364,0.5625,0.0666666666666667,Fold1.Rep10
ACC,CNV,NA,1,1,NA,1,1,1,1,1,Fold2.Rep10
ACC,CNV,1,0.333333333333333,0.916666666666667,NA,0.5,0.333333333333333,0.4,0.8,0.285714285714286,Fold3.Rep10
ACC,CNV,0.555555555555556,0.5,0.833333333333333,NA,0.5,0.5,0.5,0.75,0.333333333333333,Fold4.Rep10
ACC,CNV,0.222222222222222,0.333333333333333,0.666666666666667,NA,0.2,0.333333333333333,0.25,0.6,0,Fold5.Rep10
ACC,Methy,NA,0.5,0.75,NA,0.4,0.5,0.444444444444444,0.6875,0.230769230769231,Fold1.Rep01
ACC,Methy,NA,0.333333333333333,0.75,NA,0.25,0.333333333333333,0.285714285714286,0.666666666666667,0.0740740740740739,Fold2.Rep01
ACC,Methy,NA,0.5,0.583333333333333,NA,0.285714285714286,0.5,0.363636363636364,0.5625,0.0666666666666667,Fold3.Rep01
ACC,Methy,NA,1,0.75,NA,0.5,1,0.666666666666667,0.8,0.545454545454546,Fold4.Rep01
ACC,Methy,NA,0.666666666666667,0.833333333333333,NA,0.5,0.666666666666667,0.571428571428572,0.8,0.444444444444445,Fold5.Rep01
ACC,Methy,NA,0.5,0.666666666666667,NA,0.333333333333333,0.5,0.4,0.625,0.142857142857143,Fold1.Rep02
ACC,Methy,NA,0.333333333333333,0.75,NA,0.25,0.333333333333333,0.285714285714286,0.666666666666667,0.0740740740740739,Fold2.Rep02
