cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
BRCA,CNV,0.497183098591549,0,1,0.0907613799781776,NA,0,NA,0.934210526315789,0,Fold1.Rep01
BRCA,CNV,0.622065727699531,0,1,0.20684927896886,NA,0,NA,0.940397350993378,0,Fold2.Rep01
BRCA,CNV,0.597872340425532,0,1,0.0960865903824179,NA,0,NA,0.933774834437086,0,Fold3.Rep01
BRCA,CNV,0.569503546099291,0,1,0.140655075692771,NA,0,NA,0.933774834437086,0,Fold4.Rep01
BRCA,CNV,0.629787234042553,0,1,0.0994236535766129,NA,0,NA,0.933774834437086,0,Fold5.Rep01
BRCA,CNV,0.562647754137116,0,1,0.172738094974952,NA,0,NA,0.94,0,Fold1.Rep02
BRCA,CNV,0.717730496453901,0,1,0.118087300442138,NA,0,NA,0.933774834437086,0,Fold2.Rep02
BRCA,CNV,0.49290780141844,0,1,0.0669894933877333,NA,0,NA,0.933774834437086,0,Fold3.Rep02
BRCA,CNV,0.564788732394366,0,1,0.120913398148157,NA,0,NA,0.934210526315789,0,Fold4.Rep02
BRCA,CNV,0.551408450704225,0,1,0.0915469254065723,NA,0,NA,0.934210526315789,0,Fold5.Rep02
BRCA,CNV,0.700312989045383,0,1,0.119876425090534,NA,0,NA,0.940397350993378,0,Fold1.Rep03
BRCA,CNV,0.451063829787234,0,1,0.0591883937665609,NA,0,NA,0.933774834437086,0,Fold2.Rep03
BRCA,CNV,0.502816901408451,0,1,0.0795816130722845,NA,0,NA,0.934210526315789,0,Fold3.Rep03
BRCA,CNV,0.686524822695035,0,1,0.11431756817508,NA,0,NA,0.933774834437086,0,Fold4.Rep03
BRCA,CNV,0.526241134751773,0,1,0.0779589557814156,NA,0,NA,0.933774834437086,0,Fold5.Rep03
BRCA,CNV,0.58936170212766,0,1,0.124204486231006,NA,0,NA,0.933774834437086,0,Fold1.Rep04
BRCA,CNV,0.466901408450704,0,1,0.0593655020378204,NA,0,NA,0.934210526315789,0,Fold2.Rep04
BRCA,CNV,0.646966115051221,0,1,0.187365712697394,NA,0,NA,0.94,0,Fold3.Rep04
BRCA,CNV,0.492957746478873,0,1,0.0638541391498313,NA,0,NA,0.934210526315789,0,Fold4.Rep04
BRCA,CNV,0.533333333333333,0,1,0.0676796598320318,NA,0,NA,0.933774834437086,0,Fold5.Rep04
BRCA,CNV,0.598581560283688,0,1,0.0823047036412083,NA,0,NA,0.933774834437086,0,Fold1.Rep05
BRCA,CNV,0.737089201877934,0,1,0.140285814876865,NA,0,NA,0.940397350993378,0,Fold2.Rep05
BRCA,CNV,0.560992907801418,0,1,0.111821228671374,NA,0,NA,0.933774834437086,0,Fold3.Rep05
BRCA,CNV,0.62887323943662,0,1,0.0936825561267117,NA,0,NA,0.934210526315789,0,Fold4.Rep05
BRCA,CNV,0.450354609929078,0,1,0.0625839291679484,NA,0,NA,0.933774834437086,0,Fold5.Rep05
BRCA,CNV,0.48169014084507,0,1,0.0769269814614163,NA,0,NA,0.934210526315789,0,Fold1.Rep06
BRCA,CNV,0.619858156028369,0,1,0.150532602216603,NA,0,NA,0.933774834437086,0,Fold2.Rep06
BRCA,CNV,0.619385342789598,0,1,0.0776844746056875,NA,0,NA,0.94,0,Fold3.Rep06
BRCA,CNV,0.576760563380282,0,1,0.104492574487547,NA,0,NA,0.934210526315789,0,Fold4.Rep06
BRCA,CNV,0.743262411347518,0,1,0.181598535638186,NA,0,NA,0.933774834437086,0,Fold5.Rep06
BRCA,CNV,0.497163120567376,0,1,0.0654969334894137,NA,0,NA,0.933774834437086,0,Fold1.Rep07
BRCA,CNV,0.621985815602837,0,1,0.122801925228074,NA,0,NA,0.933774834437086,0,Fold2.Rep07
BRCA,CNV,0.582348305752561,0,1,0.104929451824804,NA,0,NA,0.94,0,Fold3.Rep07
BRCA,CNV,0.664788732394366,0,1,0.134056638315192,NA,0,NA,0.934210526315789,0,Fold4.Rep07
BRCA,CNV,0.597887323943662,0,1,0.0951560463732941,NA,0,NA,0.934210526315789,0,Fold5.Rep07
BRCA,CNV,0.509219858156028,0,1,0.0736336431419066,NA,0,NA,0.933774834437086,0,Fold1.Rep08
BRCA,CNV,0.756028368794326,0,1,0.166676459687439,NA,0,NA,0.933774834437086,0,Fold2.Rep08
BRCA,CNV,0.560250391236307,0,1,0.0731638547344568,NA,0,NA,0.940397350993378,0,Fold3.Rep08
BRCA,CNV,0.447517730496454,0,1,0.0621657646700944,NA,0,NA,0.933774834437086,0,Fold4.Rep08
BRCA,CNV,0.659859154929577,0,1,0.102980628498448,NA,0,NA,0.934210526315789,0,Fold5.Rep08
BRCA,CNV,0.693617021276596,0,1,0.138603413768079,NA,0,NA,0.933774834437086,0,Fold1.Rep09
BRCA,CNV,0.697399527186761,0,1,0.104768418341301,NA,0,NA,0.94,0,Fold2.Rep09
BRCA,CNV,0.516197183098592,0,1,0.0853625787246267,NA,0,NA,0.934210526315789,0,Fold3.Rep09
BRCA,CNV,0.490780141843972,0,1,0.0635350806604533,NA,0,NA,0.933774834437086,0,Fold4.Rep09
BRCA,CNV,0.61830985915493,0,1,0.145021449983675,NA,0,NA,0.934210526315789,0,Fold5.Rep09
BRCA,CNV,0.673049645390071,0,1,0.154691715831298,NA,0,NA,0.933774834437086,0,Fold1.Rep10
BRCA,CNV,0.571631205673759,0,1,0.0946466048988269,NA,0,NA,0.933774834437086,0,Fold2.Rep10
BRCA,CNV,0.425352112676056,0,1,0.0527762113358828,NA,0,NA,0.934210526315789,0,Fold3.Rep10
BRCA,CNV,0.570921985815603,0,1,0.096953680812733,NA,0,NA,0.933774834437086,0,Fold4.Rep10
BRCA,CNV,0.653364632237872,0,1,0.149224869776836,NA,0,NA,0.940397350993378,0,Fold5.Rep10
BRCA,Methy,0.555633802816901,0,1,0.0951262949423749,NA,0,NA,0.934210526315789,0,Fold1.Rep01
BRCA,Methy,0.575899843505477,0,1,0.107864669772251,NA,0,NA,0.940397350993378,0,Fold2.Rep01
BRCA,Methy,0.558156028368794,0,1,0.079218995639463,NA,0,NA,0.933774834437086,0,Fold3.Rep01
BRCA,Methy,0.580851063829787,0,1,0.0926254114732136,NA,0,NA,0.933774834437086,0,Fold4.Rep01
BRCA,Methy,0.656028368794326,0,1,0.0907150764857685,NA,0,NA,0.933774834437086,0,Fold5.Rep01
BRCA,Methy,0.656422379826635,0,1,0.114657182933586,NA,0,NA,0.94,0,Fold1.Rep02
BRCA,Methy,0.584397163120567,0,1,0.0879472526305365,NA,0,NA,0.933774834437086,0,Fold2.Rep02
BRCA,Methy,0.524113475177305,0,1,0.0742903947856375,NA,0,NA,0.933774834437086,0,Fold3.Rep02
BRCA,Methy,0.607746478873239,0,1,0.106315353375795,NA,0,NA,0.934210526315789,0,Fold4.Rep02
BRCA,Methy,0.654929577464789,0,1,0.117773255561516,NA,0,NA,0.934210526315789,0,Fold5.Rep02
BRCA,Methy,0.608763693270736,0,1,0.24124693782507,NA,0,NA,0.940397350993378,0,Fold1.Rep03
BRCA,Methy,0.649645390070922,0,1,0.102467512580822,NA,0,NA,0.933774834437086,0,Fold2.Rep03
BRCA,Methy,0.503521126760563,0,1,0.0886844491380949,NA,0,NA,0.934210526315789,0,Fold3.Rep03
BRCA,Methy,0.688652482269504,0,1,0.129846153130894,NA,0,NA,0.933774834437086,0,Fold4.Rep03
BRCA,Methy,0.717021276595745,0,1,0.116178433462164,NA,0,NA,0.933774834437086,0,Fold5.Rep03
BRCA,Methy,0.604255319148936,0,1,0.102208649865209,NA,0,NA,0.933774834437086,0,Fold1.Rep04
BRCA,Methy,0.569718309859155,0,1,0.0749288273550107,NA,0,NA,0.934210526315789,0,Fold2.Rep04
BRCA,Methy,0.691095350669819,0,1,0.116204725573491,NA,0,NA,0.94,0,Fold3.Rep04
BRCA,Methy,0.647183098591549,0,1,0.0894444394303827,NA,0,NA,0.934210526315789,0,Fold4.Rep04
BRCA,Methy,0.64468085106383,0,1,0.180313473409567,NA,0,NA,0.933774834437086,0,Fold5.Rep04
BRCA,Methy,0.679432624113475,0,1,0.120226908024906,NA,0,NA,0.933774834437086,0,Fold1.Rep05
BRCA,Methy,0.679186228482003,0,1,0.118171967647168,NA,0,NA,0.940397350993378,0,Fold2.Rep05
BRCA,Methy,0.770212765957447,0,1,0.242416518488186,NA,0,NA,0.933774834437086,0,Fold3.Rep05
BRCA,Methy,0.549295774647887,0,1,0.0660497223694702,NA,0,NA,0.934210526315789,0,Fold4.Rep05
BRCA,Methy,0.711347517730496,0,1,0.13995885767095,NA,0,NA,0.933774834437086,0,Fold5.Rep05
BRCA,Methy,0.761267605633803,0,1,0.147003942506378,NA,0,NA,0.934210526315789,0,Fold1.Rep06
BRCA,Methy,0.570212765957447,0,1,0.0817734627566094,NA,0,NA,0.933774834437086,0,Fold2.Rep06
BRCA,Methy,0.576832151300236,0,1,0.0721334566614066,NA,0,NA,0.94,0,Fold3.Rep06
BRCA,Methy,0.561267605633803,0,1,0.0952049816458799,NA,0,NA,0.934210526315789,0,Fold4.Rep06
BRCA,Methy,0.668085106382979,0,1,0.109916609921007,NA,0,NA,0.933774834437086,0,Fold5.Rep06
BRCA,Methy,0.543262411347518,0,1,0.117313089279329,NA,0,NA,0.933774834437086,0,Fold1.Rep07
BRCA,Methy,0.581560283687943,0,1,0.0794935893537274,NA,0,NA,0.933774834437086,0,Fold2.Rep07
BRCA,Methy,0.658786446020489,0,1,0.0859198808220651,NA,0,NA,0.94,0,Fold3.Rep07
BRCA,Methy,0.701408450704225,0,1,0.121116002157934,NA,0,NA,0.934210526315789,0,Fold4.Rep07
BRCA,Methy,0.641549295774648,0,1,0.202251631060569,NA,0,NA,0.934210526315789,0,Fold5.Rep07
BRCA,Methy,0.576595744680851,0,1,0.079154635018358,NA,0,NA,0.933774834437086,0,Fold1.Rep08
BRCA,Methy,0.612765957446809,0,1,0.165925729209023,NA,0,NA,0.933774834437086,0,Fold2.Rep08
BRCA,Methy,0.667449139280125,0,1,0.107927514829283,NA,0,NA,0.940397350993378,0,Fold3.Rep08
BRCA,Methy,0.397872340425532,0,1,0.0674779123309973,NA,0,NA,0.933774834437086,0,Fold4.Rep08
BRCA,Methy,0.735915492957746,0,1,0.124907747428401,NA,0,NA,0.934210526315789,0,Fold5.Rep08
BRCA,Methy,0.573758865248227,0,1,0.19324225719119,NA,0,NA,0.933774834437086,0,Fold1.Rep09
BRCA,Methy,0.706855791962175,0,1,0.144460122195264,NA,0,NA,0.94,0,Fold2.Rep09
BRCA,Methy,0.484507042253521,0,1,0.077777526646999,NA,0,NA,0.934210526315789,0,Fold3.Rep09
BRCA,Methy,0.650354609929078,0,1,0.120129405789076,NA,0,NA,0.933774834437086,0,Fold4.Rep09
BRCA,Methy,0.61056338028169,0,1,0.0934305688040324,NA,0,NA,0.934210526315789,0,Fold5.Rep09
BRCA,Methy,0.581560283687943,0,1,0.0968819335702609,NA,0,NA,0.933774834437086,0,Fold1.Rep10
BRCA,Methy,0.597163120567376,0,1,0.0943322853753176,NA,0,NA,0.933774834437086,0,Fold2.Rep10
BRCA,Methy,0.570422535211268,0,1,0.0935143639152941,NA,0,NA,0.934210526315789,0,Fold3.Rep10
BRCA,Methy,0.697163120567376,0,1,0.128580024325234,NA,0,NA,0.933774834437086,0,Fold4.Rep10
BRCA,Methy,0.618935837245696,0,1,0.0771090079363105,NA,0,NA,0.940397350993378,0,Fold5.Rep10
BRCA,miRNA,0.569014084507042,0,1,0.082734874070224,NA,0,NA,0.934210526315789,0,Fold1.Rep01
BRCA,miRNA,0.571987480438185,0,1,0.106052494170753,NA,0,NA,0.940397350993378,0,Fold2.Rep01
BRCA,miRNA,0.693617021276596,0,1,0.145126241523144,NA,0,NA,0.933774834437086,0,Fold3.Rep01
BRCA,miRNA,0.505673758865248,0,1,0.0649976407986951,NA,0,NA,0.933774834437086,0,Fold4.Rep01
BRCA,miRNA,0.633333333333333,0,1,0.0808548403993777,NA,0,NA,0.933774834437086,0,Fold5.Rep01
BRCA,miRNA,0.762805358550039,0,1,0.145052084751049,NA,0,NA,0.94,0,Fold1.Rep02
BRCA,miRNA,0.616312056737589,0,1,0.118260268891363,NA,0,NA,0.933774834437086,0,Fold2.Rep02
BRCA,miRNA,0.608510638297872,0,1,0.10749379341058,NA,0,NA,0.933774834437086,0,Fold3.Rep02
BRCA,miRNA,0.67887323943662,0,1,0.120693791887518,NA,0,NA,0.934210526315789,0,Fold4.Rep02
BRCA,miRNA,0.578169014084507,0,1,0.0930635313047127,NA,0,NA,0.934210526315789,0,Fold5.Rep02
BRCA,miRNA,0.449921752738654,0,1,0.0528336619308146,NA,0,NA,0.940397350993378,0,Fold1.Rep03
BRCA,miRNA,0.54822695035461,0,1,0.0735044351619048,NA,0,NA,0.933774834437086,0,Fold2.Rep03
BRCA,miRNA,0.571830985915493,0,1,0.119104866428656,NA,0,NA,0.934210526315789,0,Fold3.Rep03
BRCA,miRNA,0.622695035460993,0,1,0.0976155437343355,NA,0,NA,0.933774834437086,0,Fold4.Rep03
BRCA,miRNA,0.593617021276596,0,1,0.137533312455476,NA,0,NA,0.933774834437086,0,Fold5.Rep03
BRCA,miRNA,0.706382978723404,0,1,0.149295991261699,NA,0,NA,0.933774834437086,0,Fold1.Rep04
BRCA,miRNA,0.559859154929577,0,1,0.0850606473431999,NA,0,NA,0.934210526315789,0,Fold2.Rep04
BRCA,miRNA,0.61150512214342,0,1,0.0751881333441655,NA,0,NA,0.94,0,Fold3.Rep04
BRCA,miRNA,0.673943661971831,0,1,0.122923839654015,NA,0,NA,0.934210526315789,0,Fold4.Rep04
BRCA,miRNA,0.479432624113475,0,1,0.0547225183487061,NA,0,NA,0.933774834437086,0,Fold5.Rep04
BRCA,miRNA,0.581560283687943,0,1,0.119992022395515,NA,0,NA,0.933774834437086,0,Fold1.Rep05
BRCA,miRNA,0.481220657276995,0,1,0.0548760435211414,NA,0,NA,0.940397350993378,0,Fold2.Rep05
BRCA,miRNA,0.679432624113475,0,1,0.128007680221999,NA,0,NA,0.933774834437086,0,Fold3.Rep05
BRCA,miRNA,0.573239436619718,0,1,0.12778943944355,NA,0,NA,0.934210526315789,0,Fold4.Rep05
BRCA,miRNA,0.422695035460993,0,1,0.0590608082078384,NA,0,NA,0.933774834437086,0,Fold5.Rep05
BRCA,miRNA,0.613380281690141,0,1,0.0928386802633176,NA,0,NA,0.934210526315789,0,Fold1.Rep06
BRCA,miRNA,0.500709219858156,0,1,0.0794411103580731,NA,0,NA,0.933774834437086,0,Fold2.Rep06
BRCA,miRNA,0.560283687943262,0,1,0.0909041157616856,NA,0,NA,0.94,0,Fold3.Rep06
BRCA,miRNA,0.654225352112676,0,1,0.131197936333585,NA,0,NA,0.934210526315789,0,Fold4.Rep06
BRCA,miRNA,0.614893617021277,0,1,0.0879120212412142,NA,0,NA,0.933774834437086,0,Fold5.Rep06
BRCA,miRNA,0.58936170212766,0,1,0.106148562732978,NA,0,NA,0.933774834437086,0,Fold1.Rep07
BRCA,miRNA,0.616312056737589,0,1,0.0989377197876038,NA,0,NA,0.933774834437086,0,Fold2.Rep07
BRCA,miRNA,0.47123719464145,0,1,0.0599092699635102,NA,0,NA,0.94,0,Fold3.Rep07
BRCA,miRNA,0.642253521126761,0,1,0.118137054156888,NA,0,NA,0.934210526315789,0,Fold4.Rep07
BRCA,miRNA,0.619014084507042,0,1,0.100381830389723,NA,0,NA,0.934210526315789,0,Fold5.Rep07
BRCA,miRNA,0.490070921985816,0,1,0.0735777816077305,NA,0,NA,0.933774834437086,0,Fold1.Rep08
BRCA,miRNA,0.636170212765957,0,1,0.107176642643294,NA,0,NA,0.933774834437086,0,Fold2.Rep08
BRCA,miRNA,0.647887323943662,0,1,0.0897400756949745,NA,0,NA,0.940397350993378,0,Fold3.Rep08
BRCA,miRNA,0.488652482269504,0,1,0.0773205677019581,NA,0,NA,0.933774834437086,0,Fold4.Rep08
BRCA,miRNA,0.651408450704225,0,1,0.0986335868991894,NA,0,NA,0.934210526315789,0,Fold5.Rep08
BRCA,miRNA,0.686524822695035,0,1,0.169152788365243,NA,0,NA,0.933774834437086,0,Fold1.Rep09
BRCA,miRNA,0.576832151300236,0,1,0.0995703984861975,NA,0,NA,0.94,0,Fold2.Rep09
BRCA,miRNA,0.617605633802817,0,1,0.101738426834244,NA,0,NA,0.934210526315789,0,Fold3.Rep09
BRCA,miRNA,0.617021276595745,0,1,0.104056944289127,NA,0,NA,0.933774834437086,0,Fold4.Rep09
BRCA,miRNA,0.493661971830986,0,1,0.0614642766418513,NA,0,NA,0.934210526315789,0,Fold5.Rep09
BRCA,miRNA,0.59645390070922,0,1,0.133384500753327,NA,0,NA,0.933774834437086,0,Fold1.Rep10
BRCA,miRNA,0.568085106382979,0,1,0.122860384387037,NA,0,NA,0.933774834437086,0,Fold2.Rep10
BRCA,miRNA,0.484507042253521,0,1,0.0648955470970396,NA,0,NA,0.934210526315789,0,Fold3.Rep10
BRCA,miRNA,0.697872340425532,0,1,0.11792412940187,NA,0,NA,0.933774834437086,0,Fold4.Rep10
BRCA,miRNA,0.646322378716745,0,1,0.120697441013095,NA,0,NA,0.940397350993378,0,Fold5.Rep10
BRCA,mRNA,0.644366197183099,0,1,0.0975956267766123,NA,0,NA,0.934210526315789,0,Fold1.Rep01
BRCA,mRNA,0.63849765258216,0,1,0.0806253102599299,NA,0,NA,0.940397350993378,0,Fold2.Rep01
BRCA,mRNA,0.490070921985816,0,1,0.0737048879615506,NA,0,NA,0.933774834437086,0,Fold3.Rep01
BRCA,mRNA,0.64113475177305,0,1,0.100833825290596,NA,0,NA,0.933774834437086,0,Fold4.Rep01
BRCA,mRNA,0.707801418439716,0,1,0.157861506180662,NA,0,NA,0.933774834437086,0,Fold5.Rep01
BRCA,mRNA,0.690307328605201,0,1,0.134674160592401,NA,0,NA,0.94,0,Fold1.Rep02
BRCA,mRNA,0.74113475177305,0,1,0.21577951797324,NA,0,NA,0.933774834437086,0,Fold2.Rep02
BRCA,mRNA,0.601418439716312,0,1,0.13940760375992,NA,0,NA,0.933774834437086,0,Fold3.Rep02
BRCA,mRNA,0.623239436619718,0,1,0.085281944840806,NA,0,NA,0.934210526315789,0,Fold4.Rep02
BRCA,mRNA,0.648591549295775,0,1,0.117662328751204,NA,0,NA,0.934210526315789,0,Fold5.Rep02
BRCA,mRNA,0.665884194053208,0,1,0.17692261945018,NA,0,NA,0.940397350993378,0,Fold1.Rep03
BRCA,mRNA,0.615602836879433,0,1,0.0898139280192201,NA,0,NA,0.933774834437086,0,Fold2.Rep03
BRCA,mRNA,0.449295774647887,0,1,0.0647388660582215,NA,0,NA,0.934210526315789,0,Fold3.Rep03
BRCA,mRNA,0.721985815602837,0,1,0.116745591363375,NA,0,NA,0.933774834437086,0,Fold4.Rep03
BRCA,mRNA,0.675886524822695,0,1,0.179181616355024,NA,0,NA,0.933774834437086,0,Fold5.Rep03
BRCA,mRNA,0.692198581560284,0,1,0.14532079625585,NA,0,NA,0.933774834437086,0,Fold1.Rep04
BRCA,mRNA,0.598591549295775,0,1,0.0859941097904171,NA,0,NA,0.934210526315789,0,Fold2.Rep04
BRCA,mRNA,0.580772261623325,0,1,0.0705199496172161,NA,0,NA,0.94,0,Fold3.Rep04
BRCA,mRNA,0.673943661971831,0,1,0.147576908358067,NA,0,NA,0.934210526315789,0,Fold4.Rep04
BRCA,mRNA,0.630496453900709,0,1,0.0885589256031031,NA,0,NA,0.933774834437086,0,Fold5.Rep04
