cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
COAD,CNV,0.329166666666667,0.1,0.958333333333333,0.13781171317447,0.333333333333333,0.1,0.153846153846154,0.810344827586207,0.0806916426512969,Fold1.Rep01
COAD,CNV,0.388888888888889,0,0.979166666666667,0.122825656874569,0,0,NA,0.824561403508772,-0.0326086956521729,Fold2.Rep01
COAD,CNV,0.493877551020408,0,0.897959183673469,0.161453141887786,0,0,NA,0.745762711864407,-0.127388535031848,Fold3.Rep01
COAD,CNV,0.610416666666667,0,1,0.267522114393957,NA,0,NA,0.827586206896552,0,Fold4.Rep01
COAD,CNV,0.604166666666667,0,0.979166666666667,0.189634928933912,0,0,NA,0.824561403508772,-0.0326086956521729,Fold5.Rep01
COAD,CNV,0.597222222222222,0,0.979166666666667,0.259584181460509,0,0,NA,0.824561403508772,-0.0326086956521729,Fold1.Rep02
COAD,CNV,0.538775510204082,0,1,0.170035009669304,NA,0,NA,0.830508474576271,0,Fold2.Rep02
COAD,CNV,0.430555555555556,0.111111111111111,0.979166666666667,0.125017899715976,0.5,0.111111111111111,0.181818181818182,0.842105263157895,0.131979695431473,Fold3.Rep02
COAD,CNV,0.6625,0,0.958333333333333,0.268637908296542,0,0,NA,0.793103448275862,-0.0609756097560974,Fold4.Rep02
COAD,CNV,0.6,0.1,0.958333333333333,0.203571475618975,0.333333333333333,0.1,0.153846153846154,0.810344827586207,0.0806916426512969,Fold5.Rep02
COAD,CNV,0.425,0.1,0.979166666666667,0.150115489576675,0.5,0.1,0.166666666666667,0.827586206896552,0.115853658536585,Fold1.Rep03
COAD,CNV,0.557142857142857,0.1,1,0.253463637620314,1,0.1,0.181818181818182,0.847457627118644,0.155802861685214,Fold2.Rep03
COAD,CNV,0.470833333333333,0.1,0.958333333333333,0.171833651362939,0.333333333333333,0.1,0.153846153846154,0.810344827586207,0.0806916426512969,Fold3.Rep03
COAD,CNV,0.550925925925926,0.111111111111111,1,0.173863289771035,1,0.111111111111111,0.2,0.859649122807018,0.173913043478262,Fold4.Rep03
COAD,CNV,0.622685185185185,0,0.958333333333333,0.195913583415682,0,0,NA,0.807017543859649,-0.0609137055837557,Fold5.Rep03
COAD,CNV,0.465277777777778,0,0.958333333333333,0.176210259781629,0,0,NA,0.807017543859649,-0.0609137055837557,Fold1.Rep04
COAD,CNV,0.48125,0,0.979166666666667,0.189892937686471,0,0,NA,0.810344827586207,-0.0323624595469255,Fold2.Rep04
COAD,CNV,0.716666666666667,0,1,0.278701397903187,NA,0,NA,0.827586206896552,0,Fold3.Rep04
COAD,CNV,0.497685185185185,0,0.979166666666667,0.150985953280035,0,0,NA,0.824561403508772,-0.0326086956521729,Fold4.Rep04
COAD,CNV,0.33265306122449,0.1,1,0.110996631166807,1,0.1,0.181818181818182,0.847457627118644,0.155802861685214,Fold5.Rep04
