cancer,omics,ROC,Sens,Spec,AUC,Precision,Recall,F,Accuracy,Kappa,Resample
KIRP,CNV,0.5,0.6,0.816326530612245,NA,0.25,0.6,0.352941176470588,0.796296296296296,0.255639097744361,Fold1.Rep01
KIRP,CNV,0.5,0.6,0.755102040816326,NA,0.2,0.6,0.3,0.740740740740741,0.187096774193548,Fold2.Rep01
KIRP,CNV,0.5,0.6,0.73469387755102,NA,0.1875,0.6,0.285714285714286,0.722222222222222,0.168377823408624,Fold3.Rep01
KIRP,CNV,0.5,0.4,0.74,NA,0.133333333333333,0.4,0.2,0.709090909090909,0.0736842105263157,Fold4.Rep01
KIRP,CNV,0.5,0.4,0.653061224489796,NA,0.105263157894737,0.4,0.166666666666667,0.62962962962963,0.0235081374321882,Fold5.Rep01
KIRP,CNV,0.5,0.4,0.78,NA,0.153846153846154,0.4,0.222222222222222,0.745454545454545,0.104651162790698,Fold1.Rep02
KIRP,CNV,0.5,0.4,0.73469387755102,NA,0.133333333333333,0.4,0.2,0.703703703703704,0.0709677419354841,Fold2.Rep02
KIRP,CNV,0.5,0.6,0.816326530612245,NA,0.25,0.6,0.352941176470588,0.796296296296296,0.255639097744361,Fold3.Rep02
KIRP,CNV,0.5,0.8,0.795918367346939,NA,0.285714285714286,0.8,0.421052631578947,0.796296296296296,0.329571106094808,Fold4.Rep02
KIRP,CNV,0.5,0.4,0.612244897959184,NA,0.0952380952380952,0.4,0.153846153846154,0.592592592592593,0.00502512562814055,Fold5.Rep02
KIRP,CNV,0.5,0.4,0.857142857142857,NA,0.222222222222222,0.4,0.285714285714286,0.814814814814815,0.189189189189189,Fold1.Rep03
KIRP,CNV,0.5,0.6,0.63265306122449,NA,0.142857142857143,0.6,0.230769230769231,0.62962962962963,0.0954773869346734,Fold2.Rep03
KIRP,CNV,0.5,0.4,0.8,NA,0.166666666666667,0.4,0.235294117647059,0.763636363636364,0.122699386503068,Fold3.Rep03
KIRP,CNV,NA,0.6,0.795918367346939,NA,0.230769230769231,0.6,0.333333333333333,0.777777777777778,0.230403800475059,Fold4.Rep03
KIRP,CNV,0.5,0.4,0.693877551020408,NA,0.117647058823529,0.4,0.181818181818182,0.666666666666667,0.0451866404715126,Fold5.Rep03
KIRP,CNV,0.5,0.2,0.714285714285714,NA,0.0666666666666667,0.2,0.1,0.666666666666667,-0.0451612903225806,Fold1.Rep04
KIRP,CNV,0.5,0.2,0.857142857142857,NA,0.125,0.2,0.153846153846154,0.796296296296296,0.0450160771704176,Fold2.Rep04
KIRP,CNV,NA,0.8,0.7,NA,0.210526315789474,0.8,0.333333333333333,0.709090909090909,0.221238938053097,Fold3.Rep04
KIRP,CNV,0.5,0.6,0.755102040816326,NA,0.2,0.6,0.3,0.740740740740741,0.187096774193548,Fold4.Rep04
KIRP,CNV,NA,0.8,0.755102040816326,NA,0.25,0.8,0.380952380952381,0.759259259259259,0.279260780287474,Fold5.Rep04
KIRP,CNV,0.5,0.4,0.693877551020408,NA,0.117647058823529,0.4,0.181818181818182,0.666666666666667,0.0451866404715126,Fold1.Rep05
KIRP,CNV,0.5,0.8,0.775510204081633,NA,0.266666666666667,0.8,0.4,0.777777777777778,0.303225806451613,Fold2.Rep05
KIRP,CNV,0.5,0.4,0.755102040816326,NA,0.142857142857143,0.4,0.210526315789474,0.722222222222222,0.0857787810383746,Fold3.Rep05
KIRP,CNV,NA,0.6,0.755102040816326,NA,0.2,0.6,0.3,0.740740740740741,0.187096774193548,Fold4.Rep05
KIRP,CNV,0.5,0.4,0.76,NA,0.142857142857143,0.4,0.210526315789474,0.727272727272727,0.0883977900552489,Fold5.Rep05
KIRP,CNV,0.5,0.6,0.775510204081633,NA,0.214285714285714,0.6,0.315789473684211,0.759259259259259,0.207674943566591,Fold1.Rep06
KIRP,CNV,NA,0.6,0.74,NA,0.1875,0.6,0.285714285714286,0.727272727272727,0.170854271356784,Fold2.Rep06
KIRP,CNV,0.5,0.8,0.775510204081633,NA,0.266666666666667,0.8,0.4,0.777777777777778,0.303225806451613,Fold3.Rep06
KIRP,CNV,0.5,0.4,0.836734693877551,NA,0.2,0.4,0.266666666666667,0.796296296296296,0.163380281690141,Fold4.Rep06
