"","ACC_CNV","ACC_Methy","ACC_miRNA","ACC_mRNA","ACC_multi","BRCA_CNV","BRCA_Methy","BRCA_miRNA","BRCA_mRNA","BRCA_multi","COAD_CNV","COAD_Methy","COAD_miRNA","COAD_mRNA","COAD_multi","KIRC_CNV","KIRC_Methy","KIRC_miRNA","KIRC_mRNA","KIRC_multi","KIRP_CNV","KIRP_Methy","KIRP_miRNA","KIRP_mRNA","KIRP_multi","LIHC_CNV","LIHC_Methy","LIHC_miRNA","LIHC_mRNA","LIHC_multi","LUAD_CNV","LUAD_Methy","LUAD_miRNA","LUAD_mRNA","LUAD_multi","LUSC_CNV","LUSC_Methy","LUSC_miRNA","LUSC_mRNA","LUSC_multi"
"F2_partial",1.42503142030019e-49,8.94254463466728e-150,5.18617661622978e-25,3.11261356879985e-322,0,0,8.11443599313766e-151,5.07186004508767e-27,9.2162181759788e-238,0,5.59282323005888e-193,3.83673426939989e-122,2.26461764372608e-26,1.52325936806908e-212,0,2.63394387771166e-188,1.06926925121253e-171,2.2403975233563e-13,7.67989706595367e-158,0,1.87458373448117e-168,7.79196952867229e-258,5.27710932196205e-27,3.66630280797496e-247,0,7.0997373647115e-165,3.5187906770458e-44,1.68995925787443e-13,4.19384157581465e-121,0,0,1.06384079996471e-93,7.55007442619406e-13,1.2080978343917e-127,0,0,2.08663442311557e-122,8.25405443838266e-12,1.74693253559362e-103,0
"F3_partial",0.6,0.316666666666667,0.466666666666667,0.283333333333333,0.283333333333333,0.891089108910891,0.755304101838755,0.794908062234795,0.818953323903819,0.755304101838755,0.821576763485477,0.817427385892116,0.79253112033195,0.775933609958506,0.775933609958506,0.920502092050209,0.824267782426778,0.907949790794979,0.728033472803347,0.728033472803347,0.792682926829268,0.670731707317073,0.711382113821138,0.630081300813008,0.630081300813008,0.935361216730038,0.920152091254753,0.901140684410646,0.893536121673004,0.893536121673004,0.929878048780488,0.923780487804878,0.86280487804878,0.878048780487805,0.86280487804878,0.91869918699187,0.878048780487805,0.91869918699187,0.914634146341463,0.878048780487805
"F4_partial",0.6,0.316666666666667,0.466666666666667,0.283333333333333,0.283333333333333,0.891089108910891,0.755304101838755,0.794908062234795,0.818953323903819,0.755304101838755,0.821576763485477,0.817427385892116,0.79253112033195,0.775933609958506,0.775933609958506,0.920502092050209,0.824267782426778,0.907949790794979,0.728033472803347,0.728033472803347,0.792682926829268,0.670731707317073,0.711382113821138,0.630081300813008,0.630081300813008,0.935361216730038,0.920152091254753,0.901140684410646,0.893536121673004,0.893536121673004,0.929878048780488,0.923780487804878,0.86280487804878,0.878048780487805,0.86280487804878,0.91869918699187,0.878048780487805,0.91869918699187,0.914634146341463,0.878048780487805
"N1_partial",0.823529411764706,0.941176470588235,0.882352941176471,0.529411764705882,0.764705882352941,0.959183673469388,0.959183673469388,0.938775510204082,0.959183673469388,0.938775510204082,0.916666666666667,0.9375,0.854166666666667,0.8125,0.875,0.838235294117647,0.676470588235294,0.823529411764706,0.808823529411765,0.720588235294118,0.92,0.92,0.92,0.88,0.88,0.841584158415842,0.831683168316832,0.811881188118812,0.821782178217822,0.792079207920792,0.844827586206897,0.844827586206897,0.836206896551724,0.767241379310345,0.793103448275862,0.833333333333333,0.833333333333333,0.777777777777778,0.824074074074074,0.833333333333333
"N2_partial",0.352665499429899,0.465270058275971,0.45227837861796,0.437589974839431,0.447364181291395,0.449594344103793,0.467665243144935,0.468629061734427,0.466190860081851,0.469400727969206,0.451466635248442,0.481935360397485,0.480561172815124,0.487292555502318,0.479716974748194,0.445067556236296,0.481223013531031,0.481499525844303,0.470381743247461,0.475464838970573,0.372581768871358,0.463689671271834,0.473537426894563,0.464075958810351,0.464808218753586,0.467793114240246,0.485314922000999,0.490493129184149,0.494754324343712,0.486535933334161,0.476134591209888,0.482734734297664,0.488474369221056,0.487016386433737,0.483818241406453,0.487653830223806,0.489325644503834,0.489637250387199,0.491265318457506,0.490654292554846
"N3_partial",0.0666666666666667,0.133333333333333,0.0666666666666667,0.116666666666667,0.1,0.0367751060820368,0.0424328147100424,0.0438472418670438,0.041018387553041,0.0226308345120226,0.12448132780083,0.132780082987552,0.178423236514523,0.307053941908714,0.107883817427386,0.188284518828452,0.158995815899582,0.192468619246862,0.138075313807531,0.133891213389121,0.0691056910569106,0.0365853658536585,0.0772357723577236,0.0813008130081301,0.0609756097560976,0.224334600760456,0.220532319391635,0.296577946768061,0.399239543726236,0.23574144486692,0.182926829268293,0.213414634146341,0.289634146341463,0.25609756097561,0.195121951219512,0.32520325203252,0.276422764227642,0.239837398373984,0.268292682926829,0.252032520325203
"N4_partial",0.0649350649350649,0,0,0,0,0.00396825396825397,0.00396825396825397,0,0.00264550264550265,0,0.0346020761245675,0.00346020761245675,0.00346020761245675,0.0207612456747405,0,0.0684039087947883,0.00325732899022801,0,0,0.00325732899022801,0.033210332103321,0,0,0.003690036900369,0,0.0604395604395604,0.0412087912087912,0,0.00549450549450549,0.010989010989011,0.0382882882882883,0.0045045045045045,0.0045045045045045,0.0045045045045045,0,0.0649717514124294,0.0141242937853107,0.00282485875706215,0,0
"T1_partial",0.45,1,1,0.833333333333333,0.95,0.538896746817539,0.984441301272984,1,0.998585572842999,0.995756718528996,0.721991701244813,1,0.979253112033195,0.966804979253112,1,0.644351464435146,1,1,0.98744769874477,1,0.300813008130081,1,0.995934959349594,0.963414634146341,0.995934959349594,0.718631178707224,0.992395437262357,1,1,1,0.908536585365854,1,1,1,0.99390243902439,0.963414634146341,1,1,1,1
"L1_partial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212403180551519,0,0,0,0,0.0285829105615115,0,0,0,0,0.00882875023684415,0,0
"L2_partial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152091254752852,0,0,0,0,0.024390243902439,0,0,0,0,0.00406504065040647,0,0
